Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/11  06:00:00,,,26011778.661760587,12568339.774420526,26011778.661760587,8147767.126672932 
 01/11  07:00:00,,,30348397.060095824,13926891.260147657,30348397.06009581,8302135.0942397155 
 01/11  08:00:00,,,30469116.54673689,14126799.75416443,30469116.54673689,8347463.92300367 
 01/11  09:00:00,,,26148491.80208624,14712724.93153197,26148491.802086238,8365630.113869851 
 01/11  10:00:00,,,25927961.364914726,14616801.236264933,25927961.364914726,8225303.461668547 
 01/11  11:00:00,,,27230779.98698829,16175950.591785753,27230779.986988284,7960130.492344238 
 01/11  12:00:00,,,31269134.942414604,20165051.504239477,31269134.942414597,7695579.017077778 
 01/11  13:00:00,,,27572688.92679451,16275904.838794136,27572688.926794507,7668793.436473485 
 01/11  14:00:00,,,26767724.670022056,16075996.34477737,26767724.670022048,7581132.874432404 
 01/11  15:00:00,,,26574201.74283514,15876087.850760601,26574201.742835138,7571403.148394754 
 01/11  16:00:00,,,26775224.14656622,15976195.987397322,26775224.14656622,7687993.71536388 
 01/11  17:00:00,,,30976425.76048559,17802637.497050837,30976425.760485582,7712656.456175348 
 01/11  18:00:00,,,33657086.713702254,18011814.403654855,33657086.713702254,7714233.720678309 
 01/11  19:00:00,,,33447246.28524822,17811905.909638084,33447246.285248216,7704904.945478218 
 01/11  20:00:00,,,33598557.278266326,17611997.415621314,33598557.27826632,7674497.166090535 
 01/11  21:00:00,,,33340166.663675018,17412088.921604548,33340166.66367501,7640580.987420931 
 01/11  22:00:00,,,32946867.959699415,17212180.42758778,32946867.959699407,7650201.905910788 
 01/11  23:00:00,,,29546852.176183045,14084177.858593762,29546852.17618304,7684864.5412654625 
 01/11  24:00:00,,,32034502.76302351,16059483.37501275,32034502.763023507,7719477.393921669 
